t,x,y
2.02,30.4894,12.1337
2.03,30.6216,12.0902
2.04,30.7536,12.0459
2.05,30.8855,12.0006
2.06,31.0172,11.9544
2.07,31.1487,11.9072
2.08,31.2801,11.8592
2.09,31.4114,11.8102
2.1,31.5425,11.7602
2.11,31.6734,11.7094
2.12,31.8042,11.6576
2.13,31.9349,11.605
2.14,32.0654,11.5513
2.15,32.1957,11.4968
2.16,32.3259,11.4414
2.17,32.4559,11.385
2.18,32.5858,11.3278
2.19,32.7155,11.2696
2.2,32.845,11.2105
2.21,32.9745,11.1505
2.22,33.1037,11.0896
2.23,33.2328,11.0278
2.24,33.3618,10.9651
2.25,33.4906,10.9014
2.26,33.6192,10.8369
2.27,33.7477,10.7715
2.28,33.876,10.7051
2.29,34.0042,10.6379
2.3,34.1322,10.5697
2.31,34.2601,10.5007
2.32,34.3878,10.4308
2.33,34.5153,10.3599
2.34,34.6427,10.2882
2.35,34.77,10.2156
2.36,34.8971,10.1421
2.37,35.024,10.0677
2.38,35.1508,9.99239
2.39,35.2774,9.91621
2.4,35.4039,9.83915
2.41,35.5302,9.76119
2.42,35.6563,9.68236
2.43,35.7823,9.60264
2.44,35.9082,9.52204
2.45,36.0339,9.44056
2.46,36.1594,9.3582
2.47,36.2848,9.27497
2.48,36.41,9.19085
2.49,36.535,9.10587
2.5,36.6599,9.02001
2.51,36.7847,8.93327
2.52,36.9093,8.84567
2.53,37.0337,8.7572
2.54,37.158,8.66786
2.55,37.2821,8.57765
2.56,37.406,8.48657
2.57,37.5298,8.39464
2.58,37.6534,8.30184
2.59,37.7769,8.20818
2.6,37.9002,8.11366
2.61,38.0234,8.01828
2.62,38.1464,7.92204
2.63,38.2692,7.82495
2.64,38.3919,7.72701
2.65,38.5144,7.62821
2.66,38.6367,7.52856
2.67,38.7589,7.42807
2.68,38.8809,7.32672
2.69,39.0028,7.22453
2.7,39.1245,7.12149
2.71,39.246,7.01761
2.72,39.3674,6.91289
2.73,39.4886,6.80732
2.74,39.6097,6.70092
2.75,39.7306,6.59368
2.76,39.8513,6.4856
2.77,39.9719,6.37669
2.78,40.0923,6.26695
2.79,40.2125,6.15637
2.8,40.3326,6.04497
2.81,40.4525,5.93273
2.82,40.5723,5.81967
2.83,40.6919,5.70578
2.84,40.8113,5.59107
2.85,40.9305,5.47554
2.86,41.0496,5.35918
2.87,41.1685,5.24201
2.88,41.2873,5.12402
2.89,41.4059,5.00521
2.9,41.5243,4.88559
2.91,41.6426,4.76516
2.92,41.7607,4.64392
2.93,41.8786,4.52186
2.94,41.9964,4.399
2.95,42.114,4.27533
2.96,42.2314,4.15086
2.97,42.3486,4.02558
2.98,42.4657,3.8995
2.99,42.5826,3.77263
3,42.6994,3.64495
3.01,42.816,3.51648
3.02,42.9324,3.38721
3.03,43.0487,3.25715
3.04,43.1647,3.1263
3.05,43.2806,2.99466
3.06,43.3964,2.86223
3.07,43.512,2.72901
3.08,43.6274,2.59501
3.09,43.7426,2.46023
3.1,43.8576,2.32466
3.11,43.9725,2.18832
3.12,44.0873,2.05119
3.13,44.2018,1.9133
3.14,44.3162,1.77462
3.15,44.4304,1.63518
3.16,44.5444,1.49496
3.17,44.6583,1.35397
3.18,44.772,1.21222
3.19,44.8855,1.0697
3.2,44.9988,0.926412
3.21,45.112,0.782365
3.22,45.225,0.637558
3.23,45.3378,0.491992
3.24,45.4505,0.345668
3.25,45.563,0.198589
3.26,45.6753,0.0507569
